packageName,url
zou.app.kankan,['http://i.socdm.com/sdk/js/adg-script-loader.js?id=35127&targetID=adg_35127&displayid=1&adType=SP&async=false&tagver=2.0.0']
io.fakecallerid.fakecallerid,['http://ipinfo.io/']
com.wPochemutelefontormozit,"['http://stat.appsgeyser.com/impression.php?fs=1&guid=9e1b8b88-7cda-420e-91f0-a970d4199517&banner_id=56311&widget_id=2817669&ip=185.39.65.7&country=DE&uniqid=6248687a88a00&net_name_FS=appnext&v=1.44&user_agent=Mozilla%2F5.0%20%28Linux%3B%20Android%2011%3B%20Android%20SDK%20built%20for%20x86%20Build%2FRSR1.210210.001.A1%3B%20wv%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Version%2F4.0%20Chrome%2F83.0.4103.106%20Mobile%20Safari%2F537.36&physical_source=ads1&advid=39cb396f-fa39-41f8-b436-cabd6e44d151&r=1648912506', 'http://ads.appsgeyser.com/?widgetid=2817669&guid=9e1b8b88-7cda-420e-91f0-a970d4199517&v=1.44&advid=39cb396f-fa39-41f8-b436-cabd6e44d151&limit_ad_tracking_enabled=false&tlat=0.0&tlon=0.0&p=android', 'http://ads.appsgeyser.com/?widgetid=2817669&guid=9e1b8b88-7cda-420e-91f0-a970d4199517&v=1.44&advid=39cb396f-fa39-41f8-b436-cabd6e44d151&limit_ad_tracking_enabled=false&tlat=0.0&tlon=0.0&p=android']"
com.wANNEOFGREENGABLES,['http://stat.appsgeyser.com/impression.php?fs=1&guid=9252a6ec-538c-4ff9-8036-33536d76335a&banner_id=56311&widget_id=928330&ip=185.39.65.7&country=DE&uniqid=62486c2fd5583&net_name_FS=appnext_secondary&v=1.42&user_agent=Mozilla%2F5.0%20%28Linux%3B%20Android%2011%3B%20Android%20SDK%20built%20for%20x86%20Build%2FRSR1.210210.001.A1%3B%20wv%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Version%2F4.0%20Chrome%2F83.0.4103.106%20Mobile%20Safari%2F537.36&physical_source=ads1&advid=39cb396f-fa39-41f8-b436-cabd6e44d151&r=1648913456']
