useragents,package,size,useragentlength
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36","['com.aaa.android.discounts', 'com.adt.adtcontrolalarm', 'com.slime.making.diy.satisfying.fluffy.factory.squishy.jelly.maker.game', 'com.brinker.chilis', 'com.eero.android', 'com.home.emoticon.emoji', 'com.find.connect.family', 'com.picturerock.rock', 'com.safeway.client.android.safeway', 'health.step.walk', 'com.date.friends.casual.benefits.flirt', 'com.safeway.client.android.albertsons', 'com.amtrak.rider', 'com.chapter3.fbr.battleroyale', 'com.hookup.dating.bbw.wink', 'com.conceptivapps.blossom', 'co.brainly', 'com.carnival.android', 'health.clipboard.worker', 'com.costco.app.android', 'com.cougardating.cougard', 'com.curvydating', 'com.evermatch', 'com.maybeyou', 'ru.fotostrana.sweetmeet', 'dating.app.chat.flirt.wgbcv', 'dsgui.android', 'com.siwalusoftware.dogscanner', 'com.doodle.master.draw.glow.art', 'com.justride.ohioride', 'com.ratelekom.findnow', 'com.delta.mobile.android', 'com.entertaininglogixapps.gps.navigation.direction.find.route.map.guide.pro', 'com.hersheypa.hersheypark', 'com.hcom.android', 'com.hulu.plus', 'com.justplay.app', 'com.ace.shell.production', 'com.adpmobile.android', 'com.agoda.mobile.consumer', 'com.amazon.sellermobile.android', 'com.anydesk.anydeskandroid', 'com.carlsjr.ordering', 'com.comcast', 'com.crackerbarrel.app', 'com.crewapp.android.crew', 'com.dunkinbrands.otgo', 'com.embeepay.mpm', 'com.emeals', 'com.getepic.Epic', 'com.glassdoor.app', 'com.hardees.ordering', 'com.home.recipes.food.drink', 'com.Hyatt.hyt', 'com.jetblue.JetBlueAndroid', 'com.limebike', 'com.macys.android', 'com.make.money.now.big.cash.reward.app.paid.surveys.earn.money.mini.job', 'com.mindcandy.popjam', 'com.ncl.bge', 'com.onstar.guardian', 'com.pandaexpress.app', 'com.panera.bread', 'com.paycor.perform', 'com.paylocity.paylocitymobile', 'com.raisingcanes.ordering', 'com.southwestairlines.mobile', 'com.stockx.stockx', 'com.subway.mobile.subwayapp03', 'com.thehomedepot', 'com.thredup.android', 'com.tillster.frd_us_mobile', 'com.tinder', 'com.turner.cnvideoapp', 'com.united.mobile.android', 'com.ust.sheetzretapp', 'com.wyndhamhotelgroup.wyndhamrewards', 'ctrip.english', 'net.bitburst.pollpay', 'no.mobitroll.kahoot.android', 'scratch.lucky.money.free.real.big.win', 'air.com.inside.mobvendas', 'app.accon.oliverspizza', 'app.chat.chirppie', 'app.malau.learning.th', 'appinventor.ai_shivanshphone.Quantum_Hub_1', 'apps.infinite.airplanecabinsound', 'apps.timer.exweak.com', 'at.oebv.augmented.quickmedia', 'au.com.solus.CentralNorthernRegional', 'bd.example.quizearninggame', 'be.appwise.democo', 'bejaboo.shop', 'bomosi.gold.prices', 'br.com.calculacaixa', 'br.com.mksolutions.mksac.inbtelecom', 'br.com.sicoob.app.poupanca', 'br.com.sistemaprover.iegi', 'br.com.winker.wl.apice', 'br.com.winker.wl.robotton', 'calcculatorsapps.net.enciclopedias.worldstamps', 'ch.ultrastark.simplonwinterapp', 'co.fighealth.app', 'com.aarishapps.Humsafar.FarhatIshtiaq', 'com.androider.vavada.tm', 'com.andromob.ramadantimes', 'com.androsoft.learnwithmenenglish', 'com.anjarul.secureedeallite', 'com.apexridingacademy.icp', 'com.app.beepadeliverydolphincoast', 'com.app.flrtlycq', 'com.app.goodburgerandmore', 'com.app.loveharmony', 'com.app.washionic', 'com.appcreatorbg.reflexioneshermosas', 'com.AppInstitute.vf578', 'com.applern.nclexquestions', 'com.application.abo', 'com.application.getdismissed', 'com.appsmart.delivery.cafebistrobarrock5030', 'com.appsmart.delivery.lapizzadarocco13295', 'com.appsmart.delivery.roccoitaliangrillandbar2967', 'com.AppsNext.OppoReno6andReno6ProWallpapers', 'com.arcadekof.arcade97', 'com.arionargo.gosloto749numbers', 'com.arrow.festa.tips.Walkthrough', 'com.avoid.it.balls', 'com.bepatient.care4today', 'com.bergamosretreat.m', 'com.bettingparadise.app', 'com.bitmango.go.wordcookiescross', 'com.blue.wallpaperhd4k', 'com.bob.tallking.game', 'com.bsmed.besmartmed', 'com.calm.relaxing.rainsounds', 'com.cccis.catapp', 'com.codingmantra.nilkanthjewellers', 'com.com2us.soccerspirits.normal2.freefull.google.global.android.common', 'com.conferencias.sib', 'com.contactsbackup.cloudstorage.restoredata.contact', 'com.cotap.android', 'com.covidienlp.emprint', 'com.creativesimulatorsstudio.mummycity', 'com.crochetdesigns.crossstitchcreator', 'com.csiweb.digitalbanking.bk0726', 'com.CSshopentourageclothing.android', 'com.dabchy.mobile.dabchyapp', 'com.dantebus.apps.app67932', 'com.delegates', 'com.delhi_news', 'com.deloitte.mobile.container.dunew', 'com.devwebnapp.rajasthanpolicegkquestion', 'com.dreamworld.resort', 'com.droid.mobile.princetonclubofny', 'com.droid.mobile.roseburgcountryclub', 'com.ds.avare', 'com.eagronommobile', 'com.egyking.ancientgreece', 'com.einsmer.securityapp_esplugues', 'com.eliangames.neverland_treasure_new', 'com.emberfund.ember', 'com.engz.admin', 'com.ept.apl', 'com.fasabeteam.tecnicasestudio', 'com.fashionstorymy.app', 'com.fireslave.superturtlehero.adventure', 'com.Foam.Rolle.Technique', 'com.Free.Natural.Sounds.Ringtones.Effects.Tropical', 'com.futureproofretail.elrancho', 'com.gameboxmini.brainpuzzlegames2', 'com.gcinter.gcinterapp', 'com.gmail.billbradshaw247.aehb', 'com.goboko.Goboko', 'com.good.match', 'com.graduway.southernncsyalumni', 'com.groovin.livedesivideochat', 'com.guide.scary.scaryteacher', 'com.haberbodrumgazetesi.webview', 'com.halaltrip.app', 'com.hatsa.app', 'com.hgmelectronics.setup.cs', 'com.indianbookoffr.uitsuits', 'com.j477186e7b49.www', 'com.joshdeboer.itcbattles', 'com.jpapps.chinesenewyeargreetingcard', 'com.kamalapps.muslimbabynameswithurdumeaning', 'com.kangfao.thebestwallpapercoffee2020', 'com.leasewallet.beta', 'com.limber.hirer', 'com.maxpayne.pianotilespaulolondra', 'com.medichome.health', 'com.medicineapp', 'com.membersfirst.glenwildgolfclub', 'com.minutomagico.app', 'com.mishree.app.easy.nail.design.free', 'com.mobeasyappfichtali8', 'com.moment.sejarahharipahlawan', 'com.myDestiny.WishesMessages.MorningAfternoonEveningNight', 'com.navayuga.bazaar', 'com.nextmedia', 'com.notifeyelegal', 'com.novelstorydewasa.android.ahmadpurwanto', 'com.nuevatel.vivaapp', 'com.nying.blue', 'com.onlyfansfree.higgsdomino.terbarutips.guide', 'com.parsys.ortif', 'com.peacocktvguide.liveserieaswatchinwithpeacocktips', 'com.picksnget.app', 'com.pik.pahanii', 'com.positiveslice.grosik_pl', 'com.powercruisecontrol.i3', 'com.q1d410c8da91.app', 'com.rachittechnology.centralexciseActRules1944', 'com.rachittechnology.TheIndianTelegraphAct1883', 'com.racinggames.wavflip', 'com.ramseysolutions.babysteps', 'com.randomlogicgames.guesstheemojimovies', 'com.recetas.de.comidas.uruguayas.cocina.tipica', 'com.redhead.orgsports', 'com.science005net.rikaNs', 'com.sdftv.fastpay', 'com.secure.proxy.freevpn', 'com.secure4dstudio.lyricalvideomaker', 'com.sotex.bpswom', 'com.sscn.app', 'com.ssinoapps.paidsurvey', 'com.styleseat.promobile', 'com.subsplash.thechurchapp.s_676CD7', 'com.subsplashconsulting.s_8XM8RD', 'com.subsplashconsulting.s_MCJS52', 'com.subsplashconsulting.s_QZ9ZXG', 'com.subsplashconsulting.s_RMQ9HS', 'com.superfanu.bryantbulldogrewards', 'com.svantek.svannetapp', 'com.tapai.darsokde', 'com.technovedang.studyapp.tenth', 'com.teknoser.taskpal', 'com.tracfone.net10.myaccount', 'com.trelleborg.tire.ibrochure', 'com.turfkeeper.alertapp', 'com.Turkey.Sounds.Notification.Effects.Music.Ringtones', 'com.tutotoons.app.farmanimalshospitaldoctor3.free', 'com.twc.wva', 'com.ven.ejimax_m', 'com.vertaler.deit', 'com.vertaler.uken', 'com.vertivco.advisor.production', 'com.vid.vidman', 'com.vocsy.btsfakecall', 'com.vycab.driver', 'com.wakkea.app', 'com.walla.easy.speaker.bass.booster', 'com.wangzhegame.wzq', 'com.webbrowserbeta', 'com.whindipanchangcalendar.iwebnapp', 'com.wooffly', 'com.wZAMChat_9791113', 'com.yourappland.toyotahonduras', 'com.yuyosoft.apps.chameleons', 'daily.today.gemini', 'de.benntec.qa.bpol.eschw', 'de.paulstelzer.iqtest', 'de.rezepte.abnehmen.home.workouts', 'de.scireum.sellsite.mainmetall', 'essentionalDevotionalR.ShivaMahimnaStotram', 'fr.acetelecom.monavenir', 'fr.frattini.fabrice.spe.maths.demo', 'girpro.link', 'in.idealcoder.Plagiarism', 'io.aal.newsapp', 'io.artform.com', 'io.ionic.durga2018', 'io.monarchies', 'io.spotsales.demo', 'io.tapmob.application', 'io.xbts.app', 'it.erickson.involoconlamatematica', 'it.spazioit.sannaabbigliamento', 'jp.mynavi.android.job.mynavi2023', 'ma.safe.bnmaroc', 'mobi.barberly.osoparlour', 'mytaxiairport.com.mytaxiairport', 'net.app.olimpostour', 'net.cityhive.store.pavlishbe', 'net.jp.apps.kensukewatanabe.bousai', 'net.pluservice.elbasharing', 'net.theoatrix.starterguide', 'nl.sdu.vngnieuws', 'nz.co.sandfield.mPhone', 'nz.co.solnetsolutions.mobile.fonterra.dqmsApp', 'obryanvip.devocional.bilbia.cristiano', 'org.chabad.OmerCounter', 'patristicpublishing.frcombattr', 'quiz.basabali', 'radio.sufletiubit', 'rocks.mpgames.bravery', 'ru.evolution_it.capp_651', 'ru.mobiledimension.kbr', 'trx.org.freewallet.app', 'tush.tabiri.uzbek.meaning.dreams.tushlar', 'uk.co.cpllearning.peach', 'uk.co.myfirmsapp.garbutt', 'uk.co.stefsquared.yugioh', 'us.sol.StanislausCountyLibrary', 'world.tuvis.staff', 'ymacau.centraltech', 'yury.cross.learn', 'za.co.ipay.ei.utilitiesconnected']",308,180
useragent,['packageName'],1,9
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v221310000.221310000.0)","['com.slime.making.diy.satisfying.fluffy.factory.squishy.jelly.maker.game', 'com.bravo.booster', 'com.animedressupgames.chibi', 'dating.app.chat.flirt.wgbcv', 'com.gpsaround.places.rideme.navigation.mapstracking', 'com.flow.englishgreatagain', 'com.old.me', 'com.myDestiny.WishesMessages.MorningAfternoonEveningNight', 'com.odom.todolockscreen', 'com.vertaler.deit', 'com.vertaler.uken', 'com.walla.easy.speaker.bass.booster']",12,224
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v201004999.7895000.1)",['com.estotyllc.dotfighterclub'],1,222
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v204890000.204890000.0)","['com.fortunescope', 'com.arcadekof.arcade97', 'com.ArunD.SalmanKhanNewStickers', 'com.dz.pocketlaws.app.penal', 'com.eaglecs.learningjapan', 'com.free.courses.daily.xygmqpgvpaqxhmxiq', 'com.jeancarloleon.videocall.chat', 'com.JohnGopal.StepTutorial', 'com.lightofrays.calendar', 'com.mozzart.betika.bettingtips', 'com.noursal.SeftAlgnaaBook', 'com.plugie.ceramah', 'com.selfhealing.candle11', 'com.smarttec.alofokeplay', 'com.stvnbrin.free4kcoralreef', 'night.karaso.com']",16,224
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v202510000.202510000.0)","['innovationlabs.python.com', 'com.wishabi.flipp', 'com.blackforestapppaid.blackforest', 'com.devdex.quotesforlife', 'com.developer.HappyDevelopers.a4khddarkwallpapers', 'com.groovin.livedesivideochat', 'lunosoftware.nflscores', 'org.artsplanet.android.charactermemo']",8,224
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v221908000.221908000.0)","['com.meditation.deepsleep.relax', 'com.everstsol.emoji_creator.emoji_designer.emoji_maker', 'udenity.draw.animals', 'how.draw.cutefood']",4,224
"Mozilla/5.0 (Linux; Android 11;  Android SDK built for x86) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 Mobile Safari/537.36|UNITY_ANDROID|appname:abcmouse com app|appversion:8.44.1|store:Google Play Store|Device Name:unknown Android SDK built for x86",['mobi.abcmouse.academy_goo'],1,280
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 AliApp(Alibaba/7.63.6) TTID/hybrid@windvane_android_8.5.0 WindVane/8.5.0 HavanaSession,UT4Aplus/0.2.29",['com.alibaba.intl.android.apps.poseidon'],1,283
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v213806000.213806000.0)","['com.sinyee.babybus.city', 'com.doodle.master.draw.glow.art', 'apps.android.books.comicx.comicbooks', 'apps.infinitystudio.christmas', 'com.aarishapps.Humsafar.FarhatIshtiaq', 'com.ansangha.drcheckers', 'com.bb8qq.pixel.pixelmoviecharacters', 'com.eksis.dreamskin', 'com.fourteens.oliviarodrigowallpaper', 'com.jui.snakewallpaper', 'com.khobta.kegelexercises', 'com.mnt.apps.clickspeedtest', 'com.oban.genshin_planer', 'com.randomlogicgames.guesstheemojimovies', 'com.recetas.de.comidas.uruguayas.cocina.tipica', 'com.rz.sound.noise.detector', 'com.sevegame.voicerecorder', 'com.sheep.calls', 'com.tafseer.jalalain.indo', 'com.tushar.storysplitter', 'com.vchatfriends.cam', 'de.twokit.castbrowser']",22,224
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 BIGO-baiguoyuan (Android SDK built for x86__bigolive__5.27.2__android__11__0__13ba411431a36eff4125f7f811ae7ea0__0__2598__US)",['sg.bigo.live'],1,305
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 com.canva.editor (version/2.177.0;build/48027;sdk/30;store/Google Play) (Android)",['com.canva.editor'],1,262
candroid/6.19.0 (242),['com.instructure.candroid'],1,21
REACT_NATIVE_ANDROID@4.0.47,['com.fp.cheapoair'],1,27
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v214106000.214106000.0)","['com.YovoGames.dentist', 'ru.fotostrana.sweetmeet', 'com.gleam.betty.easybooster', 'com.enderman.skins.scary.noob.anime', 'com.traductor.englishtospanishtranslator', 'cpro.freestuff', 'mydiary.journal.diary.diarywithlock.diaryjournal.secretdiary', 'com.khobta.paperformats', 'com.a7afidi.zinstapp', 'com.abubunamay.whatsby', 'com.allvins.android.FiveDialer', 'com.appradio.radiodumontsaopaulo1043fm', 'com.arionargo.gosloto749numbers', 'com.BenzylStudios.hoarding.photoframes', 'com.btsringtonesapp.btsringtones', 'com.cookware.worldcusinerecipes', 'com.egyking.ancientgreece', 'com.live.ipl.line.tata.mpl.howzat.dream11.livescore_ipl2022', 'com.naat.freenaat', 'com.neoxonika.puzzlesanimals', 'com.oman27.wallpapernewkoala', 'com.outscar.assamesecal', 'com.rr.goodeveningwishes', 'com.sm.banglaalphabet', 'com.tsm.uscountry1033', 'com.Veeverr.VillagePhotoeditor', 'com.wdwq.ranrs', 'com.zalin007.wallpaper', 'da.homeo.bangla', 'ee.rautsik.simpletvremotecontrol', 'india.news14', 'instagram.video.downloader.reels.story.saver', 'jinnat.o.shyatin.salsabeeiAhmedSheraz', 'kidgames.abc.pack', 'quiz.basabali']",35,224
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 CurvyApp/1.0.27 Vendor/Android Version/1.0.27",['com.curvydating'],1,226
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v204102000.204102000.0)","['com.siwalusoftware.dogscanner', 'com.asemob.radioapp.Poland', 'com.planetaapps.bolerosonline.bolerosinolvidables', 'com.suncityradio1049fmjamaica.suncityradio1049fm', 'com.vid.vidman', 'com.wangzhegame.wzq', 'com.whindipanchangcalendar.iwebnapp', 'com.yusufsuhair.exovideocall']",8,224
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v203404000.203404000.0)","['com.magicdoodleart.quickdrawingapp', 'com.phonenumbertracker.location.mobile.call.locator.callerid', 'com.appmasterbox.picktherightcup', 'com.block.brickbreakermaster', 'com.calucky.studio.zumba.deluxe', 'com.delhi_news', 'com.epfbalancecheck.pfpassbook.financecalculator', 'com.figengungor.bebekuyutansesler', 'com.girlbodyscannerapp.body_scanner_2021_audrey', 'com.hornandsiren.freesounds', 'com.playten.city.coach.bus.simulator.drivinggames', 'com.popotools.appbooster', 'com.superdna.icematch', 'daily.today.gemini', 'hipcop.mountainphotoframe']",15,224
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 open_news open_news_u_s/4011",['com.doodle.master.draw.glow.art'],1,209
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v19649000.19649000.0)","['com.doodle.best.glow.paint', 'com.bp96studio.fortresswarsofheroes2']",2,222
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 Mobile/1 EtsyInc/6.7.1 Android/1",['com.etsy.android'],1,213
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v204204000.204204000.0)","['com.ratelekom.findnow', 'app.poker.free.texas.holdem.online.games', 'com.aggarwaldeveloper.JokerWallpaper', 'com.bob.tallking.game', 'com.cook.catalog.database.fruitcake.recipes.free.offline.apps', 'com.cook.catalog.database.garnelen.rezepte.app.kostenlos.offline', 'com.godsproslw.lilacandtulipslivewallpaper', 'com.nying.blue', 'com.ojapps.downpro', 'com.smartwidgetlabs.invoicemaker', 'nl.itnext.ek2016']",11,224
Over/7.21.0 (app.over.editor; build: 72100; Android 30.0.0),['app.over.editor'],1,59
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 libshopgate/25.0 (Harbor Freight Tools 5.54.12 Codebase:5.54.0)",['com.harborfreight.app'],1,244
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v201004999.20089000.1)","['anime.smartroom.com.drawanime', 'br.com.calculacaixa', 'com.mixappsstudio.alquran']",3,223
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (Mobile; afma-sdk-a-v211512000.211512000.0)","['com.sweefitstudios.drawgraffiticreator', 'app.malau.learning.th', 'bomosi.gold.prices', 'com.financialhelper.easyloan', 'com.grupoalamar.pyramidquest2', 'com.jg.insectidentifier', 'com.ninyuhcai.PublicAdministrationBookOffline', 'com.pik.pahanii', 'com.rhkidsapps.dollwithoutinternet', 'com.technovedang.studyapp.tenth', 'com.whatswebnolastseen', 'com.wtvg.android.weather', 'de.paulstelzer.iqtest', 'ma.safe.bnmaroc', 'rocks.mpgames.bravery']",15,224
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 PKeyAuth/1.0",['com.microsoft.windowsintune.companyportal'],1,193
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (staples_android_app)",['app.staples'],1,202
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 ALKApp/Android",['com.alaskaairlines.android'],1,195
"Mozilla/5.0 (Linux; Android 11; Android SDK built for x86 Build/RSR1.210210.001.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 (BathAndBodyWorks; Android; 3.1.0.322)",['com.bathandbody.bbw'],1,219
